customer_id,first_name,last_name,email,country,signup_date,customer_segment
C0001,David,Carr,amybrennan@example.org,France,2024-12-05,bronze
C0002,Jon,Thomas,uhernandez@example.net,Germany,2025-11-29,gold
C0003,Jacob,Russell,butlerkristin@example.org,germany,2024-07-20,bronze
C0004,Nicholas,Mcclure,omoore@example.com,DE,2024-03-08,bronze
C0005,Richard,Johns,olsonmichelle@example.net,France,2025-09-17,bronze
C0006,Jon,Harper,dmiller@example.org,France,2025-07-05,gold
C0007,Christy,Goodwin,denisehammond@example.org,IN,2024-09-24,bronze
C0008,Jill,Patterson,elizabethsmith@example.net,IN,2025-03-22,silver
C0009,Bryan,Peterson,vbrennan@example.net,Germany,2025-06-22,bronze
C0010,Dustin,Beck,imercado@example.net,Germany,2024-08-25,bronze
C0011,Frank,Cummings,hmercado@example.org,DE,2026-03-04,gold
C0012,Jose,Washington,greid@example.net,IN,2026-02-01,bronze
C0013,Kenneth,Simmons,khernandez@example.com,IN,2024-11-10,bronze
C0014,Jorge,Pittman,youngjane@example.net,France,2024-08-16,gold
C0015,Katrina,Bray,nguyensean@example.net,France,2024-12-09,gold
C0016,David,Robertson,christopher38@example.org,India,2025-07-21,bronze
C0017,John,Ibarra,julia72@example.net,India,2026-02-21,gold
C0018,Randy,Willis,martinlaura@example.net,germany,2025-11-19,bronze
C0019,Heather,Sellers,john83@example.net,DE,2025-11-15,gold
C0020,Nicole,Brown,michaelprince@example.org,India,2024-11-03,silver
C0021,Deanna,Watson,rmiles@example.net,germany,2024-04-28,bronze
C0022,Thomas,Ortega,powellmichael@example.net,DE,2026-01-25,silver
C0023,Jennifer,Gomez,rhodge@example.org,Germany,2025-02-09,bronze
C0024,James,Valdez,eperry@example.com,India,2025-04-04,bronze
C0025,Jerry,Thompson,boydchad@example.org,germany,2025-08-13,silver
C0026,Lisa,Moore,lindsayshah@example.net,IN,2025-01-15,silver
C0027,Nicholas,Lewis,john09@example.com,Germany,2025-12-16,gold
C0028,Sabrina,Riley,brownamanda@example.net,India,2024-07-01,gold
C0029,Veronica,Horne,croberts@example.org,Germany,2025-03-18,silver
C0030,Michelle,Cook,louis26@example.com,Germany,2024-08-24,gold
C0031,Daniel,Martin,michelleorr@example.net,germany,2024-11-05,gold
C0032,Anthony,Hawkins,hilllinda@example.org,IN,2024-12-11,silver
C0033,Michael,Castillo,aalexander@example.net,IN,2024-06-01,bronze
